MeanVal,OracleVal,PercOracle,N,Design,Scenario
0.18389999999999998,0.3,0.613,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.1161,0.3,0.387,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.15,0.3,0.5,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.18389999999999998,0.3,0.613,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.15,0.3,0.5,600,1,1
0.3,0.3,1,600,1,1
0.15,0.3,0.5,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.1161,0.3,0.387,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.18389999999999998,0.3,0.613,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.18389999999999998,0.3,0.613,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.05805,0.3,0.1935,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.1161,0.3,0.387,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.15,0.3,0.5,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.18389999999999998,0.3,0.613,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.18389999999999998,0.3,0.613,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.1161,0.3,0.387,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.15,0.3,0.5,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.18389999999999998,0.3,0.613,600,1,1
0.3,0.3,1,600,1,1
0.18389999999999998,0.3,0.613,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.09194999999999999,0.3,0.3065,600,1,1
0.15,0.3,0.5,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
0.3,0.3,1,600,1,1
